window_id	item_id_seq_train	item_id_target	interaction_time_delta_train	session	common_item
0	2 1 2	2	10 21 19	16.0	1
1	2 1	2	10 21	16.0	1
2	2	1	10	16.0	0
3	4	5	0	33.0	1
4	4	5	0	35.0	1
5	4	5	0	40.0	1
6	5	4	0	42.0	0
7	2 3 2	1	0 0 1	50.0	0
8	2 3	2	0 0	50.0	1
9	2	3	0	50.0	0
10	3 2	2	0 0	52.0	1
11	3	2	0	52.0	1
12	2 2 2 9 4	5	2 0 4 2 0	150.0	1
13	2 2 2 9	4	2 0 4 2	150.0	0
14	2 2 2	9	2 0 4	150.0	0
15	2 2	2	2 0	150.0	1
16	2	2	2	150.0	1
17	2	3	0	151.0	0
18	2 3	2	0 54	163.0	1
19	2	3	0	163.0	0
20	2 5 4	5	28 241 0	164.0	1
21	2 5	4	28 241	164.0	0
22	2	5	28	164.0	1
23	4 4 4	2	0 1 19	177.0	1
24	4 4	4	0 1	177.0	0
25	4	4	0	177.0	0
26	3 4 4	2	0 1 0	183.0	1
27	3 4	4	0 1	183.0	0
28	3	4	0	183.0	0
29	2 2 2 1	5	82 2 2 0	186.0	1
30	2 2 2	1	82 2 2	186.0	0
31	2 2	2	82 2	186.0	1
32	2	2	82	186.0	1
33	3	2	0	188.0	1
34	2 5 2 2	3	5 83 21 0	189.0	0
35	2 5 2	2	5 83 21	189.0	1
36	2 5	2	5 83	189.0	1
37	2	5	5	189.0	1
38	2	2	6	197.0	1
39	2 5 5	2	0 7 24	199.0	1
40	2 5	5	0 7	199.0	1
41	2	5	0	199.0	1
42	2	2	190	202.0	1
43	6	2	27	203.0	1
44	2 11 12 13 14 14 5 7 2 1 11	7	2 6 0 3 3 1 3 0 2 7 11	205.0	1
45	2 11 12 13 14 14 5 7 2 1	11	2 6 0 3 3 1 3 0 2 7	205.0	0
46	2 11 12 13 14 14 5 7 2	1	2 6 0 3 3 1 3 0 2	205.0	0
47	2 11 12 13 14 14 5 7	2	2 6 0 3 3 1 3 0	205.0	1
48	2 11 12 13 14 14 5	7	2 6 0 3 3 1 3	205.0	1
49	2 11 12 13 14 14	5	2 6 0 3 3 1	205.0	1
50	2 11 12 13 14	14	2 6 0 3 3	205.0	0
51	2 11 12 13	14	2 6 0 3	205.0	0
52	2 11 12	13	2 6 0	205.0	0
53	2 11	12	2 6	205.0	0
54	2	11	2	205.0	0
55	1 5 11 1	7	9 11 3 13	206.0	1
56	1 5 11	1	9 11 3	206.0	0
57	1 5	11	9 11	206.0	0
58	1	5	9	206.0	1
59	2 3 2	2	1 0 0	209.0	1
60	2 3	2	1 0	209.0	1
61	2	3	1	209.0	0
62	2 4 5 2	2	1 0 7 54	213.0	1
63	2 4 5	2	1 0 7	213.0	1
64	2 4	5	1 0	213.0	1
65	2	4	1	213.0	0
66	2	1	2	253.0	0
67	2 4 4 4	5	13 0 0 0	255.0	1
68	2 4 4	4	13 0 0	255.0	0
69	2 4	4	13 0	255.0	0
70	2	4	13	255.0	0
71	2 3	1	0 37	256.0	0
72	2	3	0	256.0	0
73	3 2	1	0 13	258.0	0
74	3	2	0	258.0	1
75	2	3	0	274.0	0
76	15	7	40	357.0	1
77	2 2 2 15 2 17 2	7	1 12 4 0 30 6 16	387.0	1
78	2 2 2 15 2 17	2	1 12 4 0 30 6	387.0	1
79	2 2 2 15 2	17	1 12 4 0 30	387.0	0
80	2 2 2 15	2	1 12 4 0	387.0	1
81	2 2 2	15	1 12 4	387.0	1
82	2 2	2	1 12	387.0	1
83	2	2	1	387.0	1
84	2 2 1	7	0 13 16	397.0	1
85	2 2	1	0 13	397.0	0
86	2	2	0	397.0	1
87	3 2	2	0 0	404.0	1
88	3	2	0	404.0	1
89	2 2	1	20 1	405.0	0
90	2	2	20	405.0	1
91	3	2	0	406.0	1
92	2 3 2	1	12 0 3	408.0	0
93	2 3	2	12 0	408.0	1
94	2	3	12	408.0	0
95	2 2	2	32 0	411.0	1
96	2	2	32	411.0	1
97	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4 4 3 2 2 1 3 2	2	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0 4 0 0 11 55 0 0	413.0	1
98	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4 4 3 2 2 1 3	2	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0 4 0 0 11 55 0	413.0	1
99	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4 4 3 2 2 1	3	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0 4 0 0 11 55	413.0	0
100	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4 4 3 2 2	1	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0 4 0 0 11	413.0	0
101	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4 4 3 2	2	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0 4 0 0	413.0	1
102	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4 4 3	2	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0 4 0	413.0	1
103	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4 4	3	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0 4	413.0	0
104	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5 4	4	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0 0	413.0	0
105	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5 5	4	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0 0	413.0	0
106	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5 5	5	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0 0	413.0	1
107	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4 5	5	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0 0	413.0	1
108	2 4 4 4 5 5 15 1 7 15 7 4 4 5 4	5	18 0 4 0 0 0 4 35 44 44 25 1 1 1 0	413.0	1
109	2 4 4 4 5 5 15 1 7 15 7 4 4 5	4	18 0 4 0 0 0 4 35 44 44 25 1 1 1	413.0	0
110	2 4 4 4 5 5 15 1 7 15 7 4 4	5	18 0 4 0 0 0 4 35 44 44 25 1 1	413.0	1
111	2 4 4 4 5 5 15 1 7 15 7 4	4	18 0 4 0 0 0 4 35 44 44 25 1	413.0	0
112	2 4 4 4 5 5 15 1 7 15 7	4	18 0 4 0 0 0 4 35 44 44 25	413.0	0
113	2 4 4 4 5 5 15 1 7 15	7	18 0 4 0 0 0 4 35 44 44	413.0	1
114	2 4 4 4 5 5 15 1 7	15	18 0 4 0 0 0 4 35 44	413.0	1
115	2 4 4 4 5 5 15 1	7	18 0 4 0 0 0 4 35	413.0	1
116	2 4 4 4 5 5 15	1	18 0 4 0 0 0 4	413.0	0
117	2 4 4 4 5 5	15	18 0 4 0 0 0	413.0	1
118	2 4 4 4 5	5	18 0 4 0 0	413.0	1
119	2 4 4 4	5	18 0 4 0	413.0	1
120	2 4 4	4	18 0 4	413.0	0
121	2 4	4	18 0	413.0	0
122	2	4	18	413.0	0
123	2 2	2	5 4	416.0	1
124	2	2	5	416.0	1
125	2 2	2	4 52	418.0	1
126	2	2	4	418.0	1
127	2 2	2	45 4	420.0	1
128	2	2	45	420.0	1
129	2 2	2	1 13	422.0	1
130	2	2	1	422.0	1
131	2	1	0	425.0	0
132	4 5 3 2 2 2 2 2 2 5 2 3 2 2	1	0 74 0 0 4 17 45 33 8 18 7 0 32 3	426.0	0
133	4 5 3 2 2 2 2 2 2 5 2 3 2	2	0 74 0 0 4 17 45 33 8 18 7 0 32	426.0	1
134	4 5 3 2 2 2 2 2 2 5 2 3	2	0 74 0 0 4 17 45 33 8 18 7 0	426.0	1
135	4 5 3 2 2 2 2 2 2 5 2	3	0 74 0 0 4 17 45 33 8 18 7	426.0	0
136	4 5 3 2 2 2 2 2 2 5	2	0 74 0 0 4 17 45 33 8 18	426.0	1
137	4 5 3 2 2 2 2 2 2	5	0 74 0 0 4 17 45 33 8	426.0	1
138	4 5 3 2 2 2 2 2	2	0 74 0 0 4 17 45 33	426.0	1
139	4 5 3 2 2 2 2	2	0 74 0 0 4 17 45	426.0	1
140	4 5 3 2 2 2	2	0 74 0 0 4 17	426.0	1
141	4 5 3 2 2	2	0 74 0 0 4	426.0	1
142	4 5 3 2	2	0 74 0 0	426.0	1
143	4 5 3	2	0 74 0	426.0	1
144	4 5	3	0 74	426.0	0
145	4	5	0	426.0	1
146	4 5 2	1	0 0 0	435.0	0
147	4 5	2	0 0	435.0	1
148	4	5	0	435.0	1
149	1 3 2 2	2	90 0 0 38	439.0	1
150	1 3 2	2	90 0 0	439.0	1
151	1 3	2	90 0	439.0	1
152	1	3	90	439.0	0
153	2 2 2	2	16 37 77	440.0	1
154	2 2	2	16 37	440.0	1
155	2	2	16	440.0	1
156	2 7 5 4 5	5	2 35 8 0 0	441.0	1
157	2 7 5 4	5	2 35 8 0	441.0	1
158	2 7 5	4	2 35 8	441.0	0
159	2 7	5	2 35	441.0	1
160	2	7	2	441.0	1
161	2	2	35	444.0	1
162	2 1	2	1 1	447.0	1
163	2	1	1	447.0	0
164	2 4 4 4 3 2 2 2	1	0 0 0 1 0 249 20 0	451.0	0
165	2 4 4 4 3 2 2	2	0 0 0 1 0 249 20	451.0	1
166	2 4 4 4 3 2	2	0 0 0 1 0 249	451.0	1
167	2 4 4 4 3	2	0 0 0 1 0	451.0	1
168	2 4 4 4	3	0 0 0 1	451.0	0
169	2 4 4	4	0 0 0	451.0	0
170	2 4	4	0 0	451.0	0
171	2	4	0	451.0	0
172	1 4 5 2 3	2	14 0 11 0 0	456.0	1
173	1 4 5 2	3	14 0 11 0	456.0	0
174	1 4 5	2	14 0 11	456.0	1
175	1 4	5	14 0	456.0	1
176	1	4	14	456.0	0
177	2 2 2 3 2	1	3 0 0 3 0	457.0	0
178	2 2 2 3	2	3 0 0 3	457.0	1
179	2 2 2	3	3 0 0	457.0	0
180	2 2	2	3 0	457.0	1
181	2	2	3	457.0	1
182	1 2	1	1 8	459.0	0
183	1	2	1	459.0	1
184	6 6	2	0 15	465.0	1
185	6	6	0	465.0	1
186	2 2 2 2 2 2	2	72 4 0 5 11 1	466.0	1
187	2 2 2 2 2	2	72 4 0 5 11	466.0	1
188	2 2 2 2	2	72 4 0 5	466.0	1
189	2 2 2	2	72 4 0	466.0	1
190	2 2	2	72 4	466.0	1
191	2	2	72	466.0	1
192	2 2 4 5 2 5	2	4 19 0 43 1 99	470.0	1
193	2 2 4 5 2	5	4 19 0 43 1	470.0	1
194	2 2 4 5	2	4 19 0 43	470.0	1
195	2 2 4	5	4 19 0	470.0	1
196	2 2	4	4 19	470.0	0
197	2	2	4	470.0	1
198	2 2 2	1	3 52 0	474.0	0
199	2 2	2	3 52	474.0	1
200	2	2	3	474.0	1
201	1 3 2	2	6 0 9	479.0	1
202	1 3	2	6 0	479.0	1
203	1	3	6	479.0	0
204	2 1 6	2	0 31 68	481.0	1
205	2 1	6	0 31	481.0	1
206	2	1	0	481.0	0
207	2 5	2	8 22	489.0	1
208	2	5	8	489.0	1
209	2 1 1 2 16 16 2 2	1	8 9 20 3 0 1 0 4	490.0	0
210	2 1 1 2 16 16 2	2	8 9 20 3 0 1 0	490.0	1
211	2 1 1 2 16 16	2	8 9 20 3 0 1	490.0	1
212	2 1 1 2 16	16	8 9 20 3 0	490.0	0
213	2 1 1 2	16	8 9 20 3	490.0	0
214	2 1 1	2	8 9 20	490.0	1
215	2 1	1	8 9	490.0	0
216	2	1	8	490.0	0
217	4 5 2	2	0 12 29	492.0	1
218	4 5	2	0 12	492.0	1
219	4	5	0	492.0	1
220	2 2	1	0 12	496.0	0
221	2	2	0	496.0	1
222	2 16 1 1 16 16 2 2 2	2	1 0 0 62 0 7 0 21 19	502.0	1
223	2 16 1 1 16 16 2 2	2	1 0 0 62 0 7 0 21	502.0	1
224	2 16 1 1 16 16 2	2	1 0 0 62 0 7 0	502.0	1
225	2 16 1 1 16 16	2	1 0 0 62 0 7	502.0	1
226	2 16 1 1 16	16	1 0 0 62 0	502.0	0
227	2 16 1 1	16	1 0 0 62	502.0	0
228	2 16 1	1	1 0 0	502.0	0
229	2 16	1	1 0	502.0	0
230	2	16	1	502.0	0
231	2 2	2	122 6	503.0	1
232	2	2	122	503.0	1
233	2 2 2 1 1	1	21 0 7 82 15	504.0	0
234	2 2 2 1	1	21 0 7 82	504.0	0
235	2 2 2	1	21 0 7	504.0	0
236	2 2	2	21 0	504.0	1
237	2	2	21	504.0	1
238	4 5 17 5	5	0 3 9 0	509.0	1
239	4 5 17	5	0 3 9	509.0	1
240	4 5	17	0 3	509.0	0
241	4	5	0	509.0	1
242	5 1	1	98 22	510.0	0
243	5	1	98	510.0	0
244	2 2 1 1	1	26 8 79 64	514.0	0
245	2 2 1	1	26 8 79	514.0	0
246	2 2	1	26 8	514.0	0
247	2	2	26	514.0	1
248	2 3 2 2 1 2 1 1 3 2 2 2 3	2	5 0 0 1 28 0 93 0 0 0 133 6 0	522.0	1
249	2 3 2 2 1 2 1 1 3 2 2 2	3	5 0 0 1 28 0 93 0 0 0 133 6	522.0	0
